,code,desc,fine,shortDesc
277,T025,BAD HAND BRAKES,$75.0,BRAKES BAD HAND BRAK
278,T026,PERMIT BAD BRAKES,$25.0,BRAKE PERMT BAD BRAK
279,T027,FAIL TO USE HAND BRAKE,$15.0,BRAKE N/USE HAND BRK
280,T028,VIOLATE BRIDGE LOAD LIMIT,$100.0,BRIDGE LOAD LMT VIOL
281,T035,INTERFERE WITH TRAFFIC WHEN PULLING FROM CURB,$100.0,PULL FROM CURB TRAFF
282,T036,FAIL TO BACK INTO PARKING SPACE,$10.0,PARK SPACE NO BACKIN
283,T038,ENTER A BLOCK WITH FIRE APPARATUS PRESENT,$50.0,FIRE APPR ENT BLOCKW
284,T039,FAIL TO PULL OVER FOR FIRE APPARATUS,$150.0,FIRE APARA N/PULLOVR
285,T040,FOLLOW WITHIN FIVE HUNDRED FEET OF FIRE APPARATUS,$100.0,FIRE APPR W/IN 500FT
286,T042,DRIVE OVER A FIRE HOSE,$50.0,FIRE HOSE DRIVE OVER
287,T043,FOLLOW A VEHICLE TOO CLOSELY,$100.0,FOLLOW VEHICLE CLOSE
288,T045,NO REAR MIRROR ON A MOTORCYCLE,$25.0,MOTORCYCLE N/R MIRR
289,T046,NO OR DEFECTIVE SPEEDOMETER ON A MINIBIKE,$15.0,MINIBIKE N/SPEEDMETR
290,T047,OPERATING A MINIBIKE WHILE UNLICENSED,$50.0,MINIBIKE N/DC PERMIT
291,T048,OPERATE UNSAFE VEHICLE,$50.0,OPER UNSAFE VEHICLE
292,T049,CARRY PASSENGER OR FAIL TO RIDE ON SEAT,$25.0,MINIBIKE OPER WO ACC
293,T050,OPERATE UNREGISTERED MOTOR DRIVEN CYCLE,$50.0,UNREG MTR DRIVEN CYC
294,T051,DRIVE OVER A SIDEWALK,$50.0,SIDEWALK DRIVE OVER
295,T052,PERMIT OPERATION OF AN UNSAFE VEHICLE,$50.0,PMT OPER UNSAF VEHIC
296,T057,FAIL TO SLOW AT AN INTERSECTION,$100.0,INTERSEC FAIL TO SLO
297,T058,FAIL TO KEEP IN LANE,$100.0,FAIL TO KEEP IN LANE
298,T059,CHANGE LANES WITHOUT CAUTION,$100.0,LANE CHANG W/O CAUT
299,T065,NO LIGHTS RUNNING ON VEHICLE,$75.0,NO LIGHTS RUNNING
300,T066,HARASS SIGNAL OFFICER WHILE ON A BICYCLE,$25.0,BIKE HARASS SIG OFF
301,T067,RIDE BIKE SO AS TO OBSTRUCT TRAFFIC,$25.0,BIKE OBSTRUCT TRAFF
302,T068,RIDE BIKE/PMD SO AS TO CREATE A DRIVING HAZARD,$25.0,PMD HAZARD DRIVING
303,T069,RIDE ABREAST ON A BIKE,$25.0,BIKE RIDING ABREAST
304,T070,RIDE PMD AT EXCESSIVE SPEED,$25.0,PMD EXCESSIVE SPEED
305,T071,BIKE/PMD FAIL TO YIELD RIGHT OF WAY  TO PED OR VEH,$25.0,PMD FAIL YIELD ROW
306,T072,DISOBEY TRAFFIC DEVICE OR OFFICER WHILE ON A BIKE,$25.0,BIKE DISOBEY DEV/OFF
307,T080,FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT,$50.0,PERMIT FAIL/EXHIBIT
308,T082,ONE WAY STREET VIOLATION,$100.0,ONE WAY STREET
309,T083,OPEN DOOR TO APPROACHING TRAFFIC,$25.0,OPEN DOOR TO TRAFFIC
310,T088,PASSING  VEHICLE ON RIGHT,$25.0,PASSING ON RIGHT
311,T095,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,$50.0,PMT PMT UNLIC OPERAT
312,T096,PERMIT UNAUTHORIZED PERSON TO OPERATE VEHICLE,$100.0,PMT UNAUTH DRIVER
313,T097,LICENSE/PERMIT DISPLAY OR USING ANOTHER PERSON'S,$50.0,LIC/PMT DISP OTH PER
314,T098,PERMIT USE OF LICENSE BY ANOTHER PERSON,$50.0,ALLW PMT USE BY OTHR
315,T101,OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION,$100.0,VIOL PERMIT REST
316,T105,DRIVE VEHICLE ON THE WHEEL RIM WITHOUT A TIRE,$25.0,DRIVE ON RIM W/O TIR
317,T106,FAIL TO KEEP RIGHT,$50.0,FAIL TO KEEP RIGHT
318,T107,FAIL TO YIELD RIGHT OF WAY,$100.0,NO YIELD RIGHT WAY
319,T108,DRIVE THROUGH OR WITHIN A SAFETY ZONE,$75.0,DRIVE THRU SAFETZONE
320,T109,OPERATE VEHICLE IN UNSAFE MECHANICAL CONDITION,$100.0,UNSAFE MECHAN COND
321,T110,INTERFERE WITH A TRAFFIC SIGNAL DEVICE,$100.0,INTERFER TRAFF SIGNL
322,T112,DISOBEY TRAFFIC CONTROL DEVICE,$100.0,DISOB TRAFFIC DEVICE
323,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,$150.0,SIGNAL PASS REDLIGHT
324,T114,FAIL TO STOP PER REGULATIONS AT FLASHING RED LIGHT,$50.0,PASS FLASH RED LIGHT
325,T115,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,$100.0,SIG NO HAND/MECHAN
326,T116,TURN RIGHT ON RED WHEN PROHIBITED,$50.0,RIGHT TURN ON RED
327,T117,DISOBEYING OFFICIAL TRAFFIC CONTROL DEVICE,$100.0,DISOB OFFICL DEVICE
328,T118,SPEED UP TO TEN MPH OVER THE SPEED LIMIT,$50.0,SPEED 10MPH EXCESS
329,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,$100.0,SPEED 11-15 OVR LIMT
330,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,$150.0,SPEED 16-20 OVR LIMT
331,T121,SPEED 21-25 MPH OVER THE SPEED LIMIT,$200.0,SPEED 21-25 OVR LIMT
332,T122,SPEED 26-30 MPH OVER THE SPEED LIMIT,$300.0,SPEED 26-30 OVR LMT
333,T124,DRIVE TOO SLOWLY TO IMPEDE OR BLOCK TRAFFIC,$50.0,DRIVING TOO SLOWLY
334,T125,DRIVE AT UNREASONABLE SPEED,$100.0,SPEED UNREASONABLE
335,T126,PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS,$100.0,RT TURN AROUND BUS
336,T127,DRIVING ON THE WRONG SIDE OF THE STREET,$50.0,DRIVING WRONG SIDE
337,T128,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,$50.0,STOP SIGN PASSING
338,T129,DRIVING A TRUCK THROUGH A RESTRICTED STREET,$150.0,REST ST DRV TRK THRU
339,T130,DRIVING A BUS THROUGH A RESTRICTED STREET,$150.0,REST ST DRV BUS THRU
340,T133,IMPROPER DEALER TAGS,$100.0,IMPROPER DEALER TAGS
341,T134,FAILURE TO USE DOME LIGHTS,$50.0,FAIL USE DOME LGHT
342,T135,BROKEN DOME LIGHTS,$50.0,BROKEN DOME LIGHT
343,T138,FAIL TO COMPLETE OR MAINTAIN A MANIFEST,$25.0,FAIL COMP/MANT MNFST
344,T139,FAIL TO PROVIDE A MANIFEST,$100.0,FAIL PROVIDE MANIFST
345,T140,ALTERING A MANIFEST,$100.0,ALTERING MANIFEST
346,T141,FAILURE TO COMPLY WITH NO SMOKING REGS IN PUB VEHI,$250.0,NO SMOKING PUB VEH
347,T142,FAIL TO OBEY HACK INSPECTOR,$100.0,FAIL OBEY HACK OFFIC
348,T144,FAIL TO NOTIFY PASSENGERS ABOUT SEATBELT REGS,$100.0,FAIL BELT NOTIFICATN
349,T150,COVERED LICENSE PLATE,$500.0,COVERED TAGS
350,T151,OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER,$100.0,OPR OPN CONTAIN ALCH
351,T155,ALTERING A DRIVING PERMIT,$25.0,PERMIT: ALTERING
352,T165,PERMIT OPERATION WITHOUT A VALID ID CARD,$500.0,PERM OPER NO ID CARD
353,T167,OVERWEIGHT COMMERCIAL MOTOR VEHICLE,$250.0,WEIGHT REGULAT VIOL
354,T168,MOTOR DRIVEN CYCLE SPEED > 30 MPH,$100.0,MD CYCLE SPEED 30
355,T169,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,$50.0,PERMIT UNLICN DRIVER
356,T170,UNLICENSED PUBLIC VEHICLE,$50.0,UNLIC PUBLIC VEHLE
357,T171,OPERATE VEHICLE WITHOUT VALID ID CARD,$500.0,OPERATE NO ID CARD
358,T178,OBSTRUCTING TRAFFIC,$15.0,TRAFFIC OBSTRUCTING
359,T181,IMPROPER TURN AT AN INTERSECTION,$25.0,IMPROPER TURN/INTERS
360,T183,TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED,$25.0,TURN NO LEFT TURN
361,T184,MAKING A U TURN WHERE U TURNS ARE PROHIBITED,$25.0,TURN NO U TURN
362,T185,MAKING A TURN FROM THE WRONG LANE,$100.0,TURN FROM WRONG LANE
363,T189,OBSTRUCTED REAR FRONT OR SIDE VISION IN VEHICLE,$75.0,VISION OBSTRUCT
364,T190,OBJECT HANGING IN VEHICLE SO AS TO OBSTRUCT VISION,$75.0,VISION OBJ HANGING
365,T191,WINDSHIELD NOT IN OPERATING CONDITION,$25.0,WINDSHIELD NOT OPER
366,T192,DEFECTIVE WINDSHIELD,$75.0,WINDSHIELD DEFECTIVE
367,T193,OBSTRUCTED WINDSHIELD,$75.0,WINDSHIELD OBSTRUCT
368,T194,OPERATING WITHOUT  WINDSHIELD WIPERS,$75.0,WINDSHIELD NO WIPERS
369,T200,PASSING A YELLOW TRAFFIC SIGNAL,$50.0,SIGNAL PASS YELLOW
370,T201,FAIL TO YIELD TO AN EMERGENCY VEHICLE,$150.0,FAIL YIELD EMER VEH
371,T202,RIGHT TURN ON RED VIOLATION NO TURN ON RED SIGN,$50.0,NO RIGHT TURN ON RED
372,T203,PASS A FLASHING YELLOW TRAFFIC SIGNAL,$50.0,SIGNAL FLASH YELLOW
373,T204,FAIL TO OBEY GREEN ARROW TRAFFIC SIGNAL,$50.0,SIGNAL GREEN ARROW
374,T205,OBSTRUCTING CROSSWALK OR INTERSECTION,$35.0,OBSTRUCT XWALK/INTER
375,T206,FAIL TO CLEAR INTERSECTION,$50.0,INTERSECT FAIL CLEAR
376,T207,TELEVISION VISIBLE TO VEHICLE OPERATOR,$100.0,TV VISIBLE OPERATOR
377,T208,DRIVE CMV W/O PROPER CLASS OR ENDORSEMENTS ON DL,$100.0,IMPROP CLASS/ENDORSE
378,T210,FAIL TO YIELD TO ANOTHER  VEHICLE,$25.0,FAIL YIELD  ROW VEH
379,T211,BOARD A VEHICLE WHILE IT IS IN MOTION,$10.0,VEH BOARD IN MOTION
380,T212,COAST WITH GEARS UNMESHED,$75.0,COAST GEAR UNMESHED
381,T214,FAIL TO YIELD WHEN EMERGING FROM AN ALLEY,$50.0,YIELD EMERG DRIVWAY
382,T216,UNAUTHORIZED LIGHTS ON VEHICLE,$25.0,UNAUTHORIZED LIGHTS
383,T217,DRIVE OVER MEDIAN,$100.0,DRIVE OVER MEDIAN
384,T218,FAIL TO WEAR  HELMET MOTORCYCLE/MOTOR DRIVEN CYCLE,$75.0,FAIL TO WEAR HELMET
385,T219,PASS WITHOUT CAUTION,$100.0,PASS W/OUT CAUTION
386,T220,PASS ON A HILL,$25.0,PASSING ON HILL
387,T224,DRIVE OFF THE ROADWAY,$25.0,DRIVING OFF ROADWAY
388,T225,FAIL TO STOP FOR APPROACHING SCHOOL BUS,$500.0,APPROACH STOP SCHBUS
389,T226,FAILURE TO PROVIDE METER STATS TO GOVT AGENCY,$1000.0,FAIL PROV METER STAT
390,T227,FAIL TO PROPERLY FASTEN TAGS TO VEHICLE,$50.0,TAGS FAIL TO FASTEN
391,T228,PROVIDE SHARED RIDES IN TAXICAB ILLEGALLY,$250.0,ILLEGAL SHARED RIDE
392,T229,UNAPPROVED ADVERTISEMENT IN OR ON VEH FOR HIRE,$100.0,TAXI UNAPROV ADVERTS
393,T230,IMPROPERLY DRESSED OPERATOR IN VEHICLE FOR HIRE,$25.0,TAXI IMP DRESS OPER
394,T231,FAILURE TO DISPLAY RATE STICKER SIGN,$150.0,FAIL DISP RATE STCKR
395,T232,FAIL TO REMOVE TAXICAB INSIGNIA,$100.0,TAXI N/REMOV INSIGNA
396,T234,OVERLOAD VEHICLE FOR HIRE,$25.0,TAXI OVERLOADED VEHI
397,T235,FAIL TO PROVIDE PASSENGER WITH A RECEIPT FROM TAXI,$150.0,TAXI N/PASS RECEIPT
398,T236,TAMPERING WITH METER OR SEALS,$1000.0,TAMPER METER OR SEAL
399,T237,OPERATING WITHOUT A METER,$1000.0,OPERATING WO METER
400,T238,OPERATING WITH A NON-FUNCTIONING METER,$1000.0,OPERAT NONFUNC METER
401,T239,OPERATING A CAB WITH OFF-SIZE WHEELS OR TIRES,$1000.0,OFFSIZE WHEEL/TIRE
402,T240,OPERATING A CAB WITH UNDER- OR OVER-INFLATED TIRES,$100.0,UNDER/OVER INFL TIRE
403,T241,DEFECTIVE SPEDOMETER IN VEHICLE FOR HIRE,$250.0,TAXI DFECT SPEEDOMTR
404,T242,NOT FOR HIRE TAXICAB ON TAXICAB STAND,$25.0,TAXI ON STAND N/HIRE
405,T247,USE OF UNREGISTERED VEHICLE,$25.0,USE OF UNREG VEHICLE
406,T249,ASKING FOR A DESTINATION,$50.0,DEST ASKING IN VIOL
407,T250,DRIVING CMV (CDL) WHILE DISQUALIFIED - OOS,$500.0,DRIVING CMV DISQUAL
408,T251,LOG VIOLATION (GENERAL / FORM AND MANNER) CMV,$100.0,LOG VIOLATION
409,T252,VIOLATION OF 11 HOUR RULE (PROPERTY),$100.0,VIO 11 HR RULE PROP
410,T253,VIOLATION OF 14 HOUR RULE (PROPERTY),$100.0,VIO 14 HR RULE PROP
411,T254,10 HOUR RULE VIOLATION (PASSENGER),$100.0,10 HR RULE VIO PASS
412,T255,VIOLATION OF 15 HOUR RULE (PASSENGER VEHICLE),$100.0,VIO 15 HR RULE P VEH
413,T256,60/70 HOUR RULE VIOLATION (PASSENGER),$100.0,60/70 HR RULE VIO
414,T257,NO DRIVER'S RECORD OF DUTY STATUS,$100.0,NO DRIVER DUTY STAT
415,T258,FALSE REPORT OF DRIVER'S DUTY STATUS,$100.0,FALSE RPT DUTY STAT
416,T259,DRIVER'S RECORD OF DUTY STATUS NOT CURRENT,$100.0,DUTY STATUS NOT CURR
417,T260,DRIVER FAILS TO MAINTAIN PREVIOUS 7 DAYS LOGS,$100.0,LOGS PRIOR 7 DAYS
418,T261,OPERATE A CMV WITHOUT A CDL,$100.0,OPERATE CMV W/O CDL
419,T262,LEARNER'S PERMIT WITHOUT ACCOMPANYING CDL HOLDER,$100.0,LEARNERS PMT NO CDL
420,T263,OPERATING A CMV WITH IMPROPER CDL GROUP,$100.0,IMPROP CDL GROUP
421,T264,INTERSTATE DRIVER UNDER 21 YEARS OF AGE OOS,$100.0,CDL INTERST UNDER 21
422,T265,OPER COMM VEH DRIVER NOT PHYSICALLY QUALIFIED OOS,$100.0,DR NOT PHYS QUALIFID
423,T266,NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED,$100.0,OPERATE VEH NOT LICS
424,T267,NO OR INVALID DRIVER'S LICENSE IN CMV,$100.0,NO/INVALID DL CMV
425,T268,NO VALID MEDICAL WAIVER IN DRIVER'S POSSESSION,$100.0,NO VALID MED WAIVER
426,T269,FAIL TO USE SEATBELT IN CMV,$100.0,NO SEATBELT CMV
427,T270,OPERATING CMV WITH LAMPS/REFLECTORS OBSCURED,$100.0,OPER CMV LAMP OBSCUR
428,T271,UNAUTHORIZED PERSON -PASSENGER VEHICLE,$100.0,UNAUTH PASSENGER
429,T272,NON-ENGLISH SPEAKING DRIVER - CMV - OOS,$100.0,NON-ENGLSH SP DRIVER
430,T273,NO MEDICAL CERTIFICATE IN DRIVER'S POSS - OOS,$100.0,NO DRIV MED CERT PV
431,T274,IMPROPER MEDICAL EXAMINER'S CERTIFICATE FORM,$100.0,IMPROP MED CERT
432,T275,EXPIRED MEDICAL CERTIFICATE,$100.0,EXP MED CERTIFICATE
433,T276,SPEEDING IN CMV UP TO 10 MPH OVER SPEED LIMIT,$100.0,CMV SPEED 10MPH OVER
434,T277,SPEEDING IN CMV 11-14 MPH OVER SPEED LIMIT,$100.0,CMV SPEED 11-14 MPH
435,T278,SPEEDING IN CMV 15 MPH OVER SPEED LIMIT,$100.0,CMV SPEED 15 MPH
436,T279,OVERHEIGHT COMMERCIAL MOTOR VEHICLE,$100.0,OVERHEIGHT CMV
437,T280,OVERWIDTH COMMERCIAL MOTOR VEHICLE,$100.0,OVERWIDTH CMV
438,T281,OVERLENGTH COMMERCIAL MOTOR VEHICLE,$250.0,OVERLENGTH CMV
439,T282,FAIL TO OBEY TRAFFIC CONTROL DEVICE COMM VEHICLE,$100.0,FAIL OBEY TRFIC DEVC
440,T283,DRIVER VIOL OOS ORDER FOR INTOXICATING BEVERAGES,$1000.0,OOS ORDER INTOX BEV
441,T284,DRIVING AFTER BEING DECLARED OUT-OF-SERVICE,$1000.0,DRIVE AFTER OOS ORDR
442,T285,NO COPY OF USDOT HM REGISTRATION NUMBER,$1000.0,NO COPY OF USDOT NUM
443,T286,PROHIBITED PLACARDING,$250.0,PROHIB PLACARDING
444,T287,VEHICLE NOT PLACARDED AS REQUIRED,$250.0,VEH NOT PLACD AS REQ
445,T288,NO SHIPPING PAPER,$100.0,NO SHIPPING PAPER
446,T289,MAINTENANCE/ACCESSIBILITY OF ER INFORMATION,$100.0,MAINT/ACCESS ER INFO
447,T290,OPERATING AN OUT OF SERVICE VEHICLE,$1000.0,OPERATE OOS VEH
448,T291,DESCRIPTION OF HM ON SHIPPING PAPER,$100.0,HMDESC  ON SHIP DOC
449,T292,BLOCKING/BRACING AND SECURING HM,$250.0,SECURE HM
450,T293,NO EMERGENCY RESPONSE TELEPHONE NUMBER,$100.0,NO EMERG RESP NUMBER
451,T295,NO HAZARDOUS WASTE MANIFEST,$100.0,NO HM MANIFEST
452,T297,UNAPPROVED ADVERTISEMENT IN OR ON VEHICLE FOR HIRE,$250.0,UNAPPRVD AD VEH HIRE
453,T299,FAIL TO HAVE INSURANCE TAXI/VEHICLE FOR HIRE,$500.0,FAIL TO HVE INS
454,T300,PROHIBITED/PERMISSIVE PLACARDING,$100.0,PROHIBITED PLACARD
455,T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,$30.0,FL TO DISP INSURANCE
456,T334,TURN RIGHT ON RED WITHOUT COMPLETE STOP,$50.0,FAIL CMPL STOP RONRD
457,T335,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,$150.0,FAIL CONTROL SPEED
458,T336,GREATER VEHICLE WIDTH THAN PERMITTED,$100.0,GRTR WIDTH THAN PERM
459,T337,UNLICENSED NON-DC LIMOUSINE OPERATOR,$500.0,NONDC OP LIMO NO LIC
460,T338,OPERATE TAXICAB WITHOUT ID CARD,$500.0,OPER CAB NO ID CARD
461,T339,OVERHEIGHT VEHICLE,$250.0,OVERHEIGHT
462,T340,DRIVE TRUCK WITH RESTRICTED PERMIT,$50.0,TRUCK PRMT RESTRICT
463,T341,UNAUTHORIZED ITEM ON WINDOW MIRROR OR FRAME,$15.0,UNAUTH ITEM ON WINDO
464,T342,UNAUTHORIZED TRAFFIC CONTROL DEVICE,$50.0,UNAUTH TRAF CNTL DEV
465,T343,UNSAFE BUMPER,$75.0,UNSAFE BUMPER
466,T344,OVERWEIGHT UP TO 5000 POUNDS OVER LIMIT,$250.0,UPTO 5000 LB OVR LMT
467,T345,VIOLATION OF TUNNEL RESTRICTIONS,$250.0,VIOL TUNNEL RESTRICT
468,T346,UNLICENSED  DC  OPERATOR,$1000.0,DC OP NO LICENSE
469,T347,UNLICENSED DC OPERATOR,$1000.0,UNLICENSED DC OPR
470,T348,HITCHING A RIDE ON A VEHICLE,$25.0,HITCHING ON VEHICLE
471,T349,IMPROPERLY RIDING ON VEHICLE,$100.0,IMPROP RIDING ON VEH
472,T350,NO FENDER(S) OR BUMPER(S),$25.0,NO FENDER(S)
473,T351,UNLICENSED NON-DC OPERATOR,$1000.0,UNLICENSE NON DC RES
474,T352,FAIL TO USE RUNNING LIGHT(S),$25.0,FAIL USE RUNING LGHT
475,T362,CDL OUT-OF-SERVICE VIOLATION,$100.0,CDL - OUT OF SERVICE
476,T363,CDL NOT-OUT-OF-SERVICE VIOLATION,$100.0,CDL - NOT OUT SERVIC
477,T364,HAZMAT OUT-OF-SERVICE VIOLATION,$100.0,HAZMAT OUT OF SERVIC
478,T365,HAZMAT NOT-OUT-OF-SERVICE VIOLATIONS,$100.0,HAZMAT NOT OUT SERVC
479,T366,WORK ZONE VIOLATION - FINE DOUBLES,$1000.0,CNSTRTN ZN FN DBL
480,T367,SCHOOL ZONE VIOLATION - FINE DOUBLES,$1000.0,SCHOOL ZONE FINE DBL
481,T400,UNREGISTERED VEHICLE 30 DAYS OR LESS,$100.0,UNREG VEH 30 DAYS
482,T404,UNREGISTERED VEHICLE MORE THAN 30 DAYS,$200.0,UNREG. VEH > 30 DAYS
483,T405,FAIL TO COMPLY - PERSONAL ANIMAL,$50.0,FAIL CMPLY PERS ANIM
484,T406,FAIL TO COMPLY SERVICE ANIMAL,$100.0,FAIL CMPLY SERV ANIM
485,T501,DRIVE THROUGH A FUNERAL PROCESSION,$25.0,DRIVE THRU FUNERAL P
486,T502,FAIL TO KEEP RIGHT IN A FUNERAL PROCESSION,$15.0,FUNERAL N/KEEP RIGHT
487,T503,UNLICENSED LIMOUSINE OPERATOR,$500.0,UNLICSD VEH LIMO
488,T504,LIMOUSINE OWNER PERMITTING UNLICENSED OPERATOR,$500.0,OWNR PRMT UNLIC LIMO
489,T505,UNLICENSED LIMOUSINE OPERATOR,$500.0,UNLICD LIMO DRIVER
490,T509,DRIVING OVER LAWN,$25.0,DRIVING OVER LAWN
491,T511,ILLEGAL HEADLIGHT(S),$75.0,ILLEGAL HEADLIGHT
492,T512,DEALER VEHICLE WITHOUT REGISTRATION,$50.0,DEAL VEHIC W/O REGIS
493,T513,DRIVING INSTRUCTOR WITHOUT LICENSE,$50.0,DRIVING INST W/O LIC
494,T514,OPERATE SCHOOL BUS WITHOUT PERMIT,$20.0,OPER SCHBUS W/O PMT
495,T515,SMOKE SCREEN,$50.0,SMOKE SCREENS
496,T516,TAMPER WITH LOCKED BICYCLE,$5.0,TAMP W/LOCKED BICYCL
497,T517,UNAUTHORIZED USE OF EMERGENCY PARKING PERMIT,$50.0,UNAUTH U/EMER PK PMT
498,T518,PERMIT OPERATION OF AN UNSAFE VEHICLE,$25.0,PMT OPER UNSAF VEHIC
499,T519,OPERATING UNSAFE PUBLIC VEHICLE FOR HIRE,$100.0,OPER UNSAFE VEH HIRE
500,T523,PASSING IN AN INTERSECTION,$25.0,PASSING AT INTERSECT
501,T524,PASSING ON A CURVE,$25.0,PASSING ON CURVE
502,T525,PASSING WITH AN OBSTRUCTED VIEW,$25.0,PASSING VIEW OBSTRUC
503,T526,SPEEDING TO PREVENT A VEHICLE FROM PASSING,$50.0,SPEED TO PREV PASSIN
504,T527,PEDESTRIAN WALK AGAINST A RED TRAFFIC SIGNAL,$20.0,PED WALK AGNST RED
505,T528,PEDESTRIAN WALKING SO AS TO CREATE A HAZARD,$5.0,PED CREATE HAZARD
506,T529,PEDESTRIAN FAIL TO YIELD TO EMERGENCY VEHICLE,$10.0,PED N/YIELD TO EMERG
507,T530,FAIL TO HAVE MOTORCYCLE PERMIT,$50.0,MOTORCYCLE NO PERMIT
508,T531,MOTORCYCLE PASSING IN TANDEM,$15.0,MOTCYCL 2 PASS N/TAN
509,T533,FAIL TO GIVE SIGNAL,$25.0,FAIL TO GIVE SIGNAL
510,T535,DISREGARD SLOW SIGN,$25.0,DISREGARD SLOW SIGN
511,T539,VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,$100.0,VIOL REST LERNER PMT
512,T542,IMPROPER USE OF DEALER TAG(S),$50.0,IMP USE DEALER TAGS
513,T555,VIOLATION OF TOWING REGULATIONS,$100.0,VIOL TOWING REG
514,T556,TOWING WITHOUT SAFETY CHAIN,$100.0,TOW REG N/SAFTY CHAN
515,T559,VIOLATION OF NO TURN SIGN,$25.0,TURN VIOL TURN SIGN
516,T560,UNAPPROVED VEHICLE OPERATOR,$20.0,UNAPPROV AUTO OPER
517,T561,PERMIT VEHICLE USE BY UNAUTHORIZED OPERATOR,$20.0,PERMT OPER UNAPP AUT
518,T562,MOTORCYCLE/ MOTOR DRIVEN CYCLE IMPROPER RIDING  ON,$100.0,IMPROPER RIDING
519,T563,PERMIT PASSENGER TO RIDE ON VEHICLE,$25.0,PERMT PASS RID ON VE
520,T564,OPERATE VEHICLE WITH DOORS OPEN,$25.0,OPER W/DOORS OPEN
521,T567,PASSING APPROACHING FIRE APPARATUS,$100.0,PASS/APPRCH FIRE APP
522,T571,IMPROPER TURN,$100.0,IMPROPER TURN
523,T575,FAIL TO OBEY DON'T WALK OR WAIT TRAFFIC SIGNAL,$20.0,DONT WALK/WAIT
524,T576,FAIL TO OBEY TRAFFIC SIGNAL IN CROSSWALK,$10.0,TRF SIGNAL/CROSSWALK
525,T577,PEDESTRIAN LEAVING CURB IN UNSAFE MANNER,$10.0,PED/LEAVE CURB UNSAF
526,T578,DIAGONAL CROSS AT INTERSECTION DISOBEYING SIGNAL,$20.0,DIAG CROSS DISOB SIG
527,T579,CROSSING AN INTERSECTION DIAGONALLY,$10.0,CROSS INTERSCT DIAG
528,T580,WALK IN ROADWAY WHERE SIDEWALK IS PROVIDED,$10.0,WALKING IN (SIDEWK)
529,T581,WALK ON WRONG SIDE OF STREET,$10.0,WALK ON WRONG SIDE
530,T583,PARADING WITHOUT A PERMIT,$50.0,PARADING W/O PERMIT
531,T585,COLLIDING WITH PEDESTRIAN,$500.0,COLLIDE W/PED
532,T590,DISTRACTED DRIVING,$100.0,DISTRACTED DRIVING
533,T591,DISTRACTED DRIVING USING CELL PHONE OTHER DEVICE,$100.0,CELL PHNE OTH DEVICE
534,T592,DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS,$100.0,DIST DRVR SCHL BUS D
535,T600,FAIL TO OBEY OFFICER'S ORDERS,$15.0,FAIL OBEY OFFICER
536,T601,FAIL TO ABIDE BY PARADE PERMIT RESTRICTIONS,$25.0,PARADE PMT N/ABID RE
537,T602,DISPLAY FAKE INSPECTION STICKER,$25.0,DISP FAKE INSP STICK
538,T603,REMOVE INSPECTION STICKER,$10.0,REMOVE INSPECT STICK
539,T604,TAXICAB FAIL TO EXHIBIT ID CARD,$100.0,TAXI N/EXHIB ID CARD
540,T605,UNLICENSED VEHICLE NON-DC RESIDENT,$1000.0,UNLIC VEH NON DC RES
541,T607,BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK,$25.0,PMD FAIL YLD ROW PED
542,T609,RIDE BIKE/PMD  SIDEWALK  CENTRAL BUSINESS DISTRICT,$25.0,RIDE PMD ON SIDEWLK
543,T610,RIDE TWO ON A BICYCLE,$25.0,RIDE 2 ON BIKE
544,T613,BIKE GIVE FALSE INFORMATION,$5.0,BIKE GIVE FALSE INFO
545,T614,BIKE IMPROPER EQUIPMENT,$25.0,BIKE IMP EQUIPMENT
546,T615,BIKE MOUNTING RACK VIOLATION,$25.0,BIKE MOUNT RAK VIOL
547,T616,IMPROPERLY SECURING BIKE,$25.0,BIKE IMPROPER SECUR
548,T617,NOT RIDING ON THE SEAT OF A BIKE,$25.0,BIKE N/RIDE ON SEAT
549,T618,PMD CARRY OBJECTS THAT HINDERS USE OF HANDLEBARS,$25.0,PMD CARRY OBJ IN HAN
550,T619,BIKE VIOLATION SOUNDING WARNING DEVICE,$25.0,BIKE SOUND WARN DEVC
551,T622,BIKE OR UNAUTHORIZED DEVICE ON THE HIGHWAY,$5.0,BIKE UNAUTH DEV HWAY
